beat,치다,I could hear the beat of the music from outside the club. ,I could hear the ____ of the music from outside the club.,나는 클럽 밖에서도 음악의 비트를 들을 수 있었다.
maximum,최고점,The teacher explained that the students would receive the maximum grade for completing the project on time.,The teacher explained that the students would receive the ______ grade for completing the project on time.,선생님은 학생들이 프로젝트를 정해진 시간 내에 완료하면 최고 성적을 받을 것이라고 설명하셨습니다.
evil,사악한,The evil sorcerer cast a dark spell upon the kingdom. ,The ____ sorcerer cast a dark spell upon the kingdom.,사악한 마법사가 왕국에 어둠의 주문을 걸었습니다.
code,법전,I had trouble deciphering the secret code. ,I had trouble deciphering the secret ____.,나는 비밀 코드를 해독하는 데 어려움을 겪었습니다.
shall,-하겠다,I shall meet you at the park tomorrow afternoon.,I ____ meet you at the park tomorrow afternoon.,내일 오후에 공원에서 만나요.
likewise,-같이 마찬가지로,"I enjoyed the movie, and my friends did likewise.","I enjoyed the movie, and my friends did ____.","저는 그 영화를 즐겼고, 친구들도 마찬가지였습니다."
function,기능,The heart is responsible for pumping blood throughout the body and ensuring that all organs function properly.,The heart is responsible for pumping blood throughout the body and ensuring that all organs ____ properly.,심장은 몸 전체로 혈액을 펌핑하고 모든 장기가 제대로 기능하도록 하는 역할을 합니다.
grave,무덤,The tombstone marked the location of his grave.,The tombstone marked the location of his _____.,묘비에는 그의 무덤이 있는 위치가 적혀 있었습니다.
instead,그 대신에,I decided to take a walk in the park instead of watching TV. ,I decided to take a walk in the park ____ of watching TV.,나는 TV를 보는 대신 공원을 산책하기로 했습니다.
proud,뽐내는 | 자랑하는 | 자긍하는 | 영광으로 여기는,I am so proud of my brother for graduating at the top of his class.,I am so ____ of my brother for graduating at the top of his class.,나는 내 동생이 반에서 1등으로 졸업해서 정말 자랑스럽다.
interfere,간섭하다,The teacher told the students not to interfere with each other during the exam.,The teacher told the students not to ____ with each other during the exam.,선생님은 학생들에게 시험 중에는 서로 방해하지 말라고 말했습니다.
climate,기후,The climate in this region is known for its extreme temperatures and unpredictable weather patterns.,The ______ in this region is known for its extreme temperatures and unpredictable weather patterns.,이 지역의 기후는 극한의 기온과 예측 불가능한 날씨 패턴으로 유명합니다.
aboard,배로,We are pleased to have you aboard our team.,We are pleased to have you ____ our team.,귀하를 우리 팀에 영입하게 되어 기쁩니다.
brief,단시간의,I will give a brief presentation tomorrow on the latest project updates.,I will give a ____ presentation tomorrow on the latest project updates.,내일 최신 프로젝트 업데이트에 대한 간략한 프레젠테이션을 하겠습니다.
female,여성,"After giving birth, the female elephant takes care of her newborn calf. ","After giving birth, the ____ elephant takes care of her newborn calf.","새끼를 낳은 후, 암컷 코끼리는 새로 태어난 새끼를 돌본다."
twist,꼬이다,I didn't see that plot twist coming in the movie last night. ,I didn't see that plot ____ coming in the movie last night.,저는 어젯밤 영화에서 그런 반전이 있을 거라고는 예상하지 못했습니다.
reform,개정(개혁)하다,The government is currently working on enacting criminal justice reform.,The government is currently working on enacting criminal justice ____.,정부는 현재 형사 사법 제도 개혁을 추진하고 있다.
lecture,강의,I fell asleep during the boring lecture on quantum physics. ,I fell asleep during the boring ____ on quantum physics..,양자물리학에 대한 지루한 강의를 듣다가 잠이 들었어요.
