comprise,포함하다,The team is comprised of talented individuals from various backgrounds.,The team is ____ of talented individuals from various backgrounds.,이 팀은 다양한 배경을 가진 재능 있는 개인들로 구성되어 있습니다.
regulate,규정하다,The government passed new laws to regulate the use of online data.,The government passed new laws to ____ the use of online data.,정부는 온라인 데이터 사용을 규제하기 위해 새로운 법률을 통과시켰습니다.
shrink,줄어들다,I had to shrink the sweater in the dryer so that it would fit better. ,I had to ____ the sweater in the dryer so that it would fit better.,스웨터를 건조기에 넣어서 줄여야 좀 더 잘 맞을 겁니다.
span,한 뼘,"The bridge's span extended across the river, connecting the two banks. ","The bridge's ____ extended across the river, connecting the two banks.",다리는 강을 가로질러 뻗어 두 강둑을 연결했다.
verbal,"말의, 말에 관한, 언어상의, 말로 나타낸, 말로 된",The professor asked the students to present their research findings in a verbal manner.,The professor asked the students to present their research findings in a ____ manner.,교수는 학생들에게 연구 결과를 구두로 발표해 달라고 요청했습니다.
creep,기다,I always feel a creepy presence whenever I walk past that abandoned house.,I always feel a ____ presence whenever I walk past that abandoned house.,나는 그 버려진 집을 지날 때마다 늘 소름 돋는 존재감을 느낀다.
rebel,반역자,The rebel refused to follow the rules. ,The ____ refused to follow the rules.,반군은 규칙을 따르기를 거부했습니다.
spectacle,광경,The circus put on a dazzling spectacle for all to see.,The circus put on a dazzling ____ for all to see.,서커스는 모든 사람이 볼 수 있도록 눈부신 광경을 선사했습니다.
peasant,농부,The peasant worked hard in the field to grow crops. ,The ____ worked hard in the field to grow crops.,농부들은 농작물을 키우기 위해 밭에서 열심히 일했습니다.
supplement,부록,I take a daily vitamin supplement to ensure I am getting all the necessary nutrients. ,I take a daily vitamin ____ to ensure I am getting all the necessary nutrients.,나는 필요한 영양소를 모두 섭취하기 위해 매일 비타민 보충제를 먹습니다.
